source,question_id,insight_subject (auto-filled),insight_direction (auto-filled),raw_value_stem (auto-filled),descriptor_interest_id,raw_value_answer_option (auto-filled),mapped_to_insight_tag,insight_tag_suggestions
descriptor,,,WHO_I_AM,Relationship Goals - Relationship Goals - Long-term partner,sec_0 - de_29 - de_29_1,,Seeks deep connection with one person,
descriptor,,,WHO_I_AM,"Relationship Goals - Relationship Goals - Long-term, but open to short",sec_0 - de_29 - de_29_2,,Seeks deep connection with one person,
descriptor,,,WHO_I_AM,"Relationship Goals - Relationship Goals - Short-term, but open to long",sec_0 - de_29 - de_29_3,,Interested in multiple casual meet-ups,
descriptor,,,WHO_I_AM,Relationship Goals - Relationship Goals - Short-term fun,sec_0 - de_29 - de_29_4,,Open to exploring many dating options,
descriptor,,,WHO_I_AM,Relationship Goals - Relationship Goals - New friends,sec_0 - de_29 - de_29_5,,Looking for friends,
descriptor,,,WHO_I_AM,Relationship Goals - Relationship Goals - Still figuring it out,sec_0 - de_29 - de_29_6,,Open to exploring many dating options,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Gym rat,sec_1 - de_10 - de_10_1,,Works out regularly,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Occasionally,sec_1 - de_10 - de_10_2,,Works out regularly,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Never,sec_1 - de_10 - de_10_3,,Unmotivated to exercise,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Everyday,sec_1 - de_10 - de_10_4,,Works out regularly,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Often,sec_1 - de_10 - de_10_5,,Works out regularly,
descriptor,,Active lifestyle compatibility,WHO_I_AM,Lifestyle - Workout - Sometimes,sec_1 - de_10 - de_10_6,,Works out regularly,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Social smoker,sec_1 - de_11 - de_11_1,,Smokes and/or vapes,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Smoker when drinking,sec_1 - de_11 - de_11_2,,Smokes and/or vapes,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Non-smoker,sec_1 - de_11 - de_11_3,,Non-smoker,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Smoker,sec_1 - de_11 - de_11_4,,Smokes and/or vapes,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Vaper,sec_1 - de_11 - de_11_5,,Smokes and/or vapes,
descriptor,,Smoking,WHO_I_AM,Lifestyle - Smoking - Trying to quit,sec_1 - de_11 - de_11_6,,Avoids smoke in public,
descriptor,,Extroversion compatibility,WHO_I_AM,Lifestyle - Social Status - Prefer having fun with lots of people,sec_1 - de_12 - de_12_1,,Extroverted,
descriptor,,Extroversion compatibility,WHO_I_AM,Lifestyle - Social Status - Prefer hanging out with a few friends,sec_1 - de_12 - de_12_2,,Enjoys intimate social settings,
descriptor,,,WHO_I_AM,Lifestyle - Social Status - Prefer spending time alone,sec_1 - de_12 - de_12_3,,Introverted,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - América-MG,sec_1 - de_15 - de_15_1,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Cuiabá,sec_1 - de_15 - de_15_10,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Flamengo,sec_1 - de_15 - de_15_11,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Fortaleza,sec_1 - de_15 - de_15_12,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Fluminense,sec_1 - de_15 - de_15_13,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Grêmio,sec_1 - de_15 - de_15_14,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Internacional,sec_1 - de_15 - de_15_15,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Juventude,sec_1 - de_15 - de_15_16,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Palmeiras,sec_1 - de_15 - de_15_17,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Santos,sec_1 - de_15 - de_15_18,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - São Paulo,sec_1 - de_15 - de_15_19,,Enjoys football,
